query,metadata
"weather, prediction","weather, forecast, prediction"
"weather, prediction","weather, forecast, prediction"
"weather, prediction","weather, forecast, prediction"
"weather, prediction","weather, forecast, prediction"
"weather, prediction","weather, forecast, prediction"
"weather, prediction","weather, forecast, prediction"
"weather, prediction","weather, forecast, prediction"
"weather, prediction","weather, forecast, prediction"
"weather, prediction","weather, forecast, prediction"
"weather, prediction","weather, forecast, prediction"
